trade_id,timestamp,market_id,buyer,seller,price,quantity,aggressor_side,label
T000059,2026-06-01 09:32:54,FED-CUT-JUL26,ACCT010,ACCT028,56,167,sell,clean
T000060,2026-06-01 09:32:57,SP500-ABOVE-6000-JUN,ACCT018,ACCT021,63,23,sell,clean
T000061,2026-06-01 09:33:00,SP500-ABOVE-6000-JUN,ACCT025,ACCT022,73,47,sell,clean
T000062,2026-06-01 09:33:03,SP500-ABOVE-6000-JUN,ACCT018,ACCT036,79,22,buy,clean
T000063,2026-06-01 09:33:06,SP500-ABOVE-6000-JUN,ACCT031,ACCT032,47,76,buy,clean
T000064,2026-06-01 09:33:09,FED-CUT-JUL26,ACCT031,ACCT036,37,191,sell,clean
T000065,2026-06-01 09:33:12,PRES-2028-DEM,ACCT008,ACCT013,42,196,buy,clean
T000066,2026-06-01 09:33:15,SP500-ABOVE-6000-JUN,ACCT034,ACCT039,48,50,sell,clean
T000067,2026-06-01 09:33:18,SP500-ABOVE-6000-JUN,ACCT035,ACCT009,45,142,sell,clean
T000068,2026-06-01 09:33:21,SP500-ABOVE-6000-JUN,ACCT019,ACCT031,39,14,sell,clean
T000069,2026-06-01 09:33:24,PRES-2028-DEM,ACCT037,ACCT004,62,78,buy,clean
T000070,2026-06-01 09:33:27,SP500-ABOVE-6000-JUN,ACCT039,ACCT040,52,116,sell,clean
T000071,2026-06-01 09:33:30,SP500-ABOVE-6000-JUN,ACCT004,ACCT040,55,196,buy,clean
T000072,2026-06-01 09:33:33,PRES-2028-DEM,ACCT036,ACCT005,56,177,sell,clean
T000073,2026-06-01 09:33:36,FED-CUT-JUL26,ACCT030,ACCT005,39,161,buy,clean
T000074,2026-06-01 09:33:39,PRES-2028-DEM,ACCT018,ACCT010,56,79,sell,clean
T000075,2026-06-01 09:33:42,SP500-ABOVE-6000-JUN,ACCT026,ACCT018,35,21,buy,clean
T000076,2026-06-01 09:33:45,PRES-2028-DEM,ACCT037,ACCT038,95,173,sell,clean
T000077,2026-06-01 09:33:48,FED-CUT-JUL26,ACCT018,ACCT012,62,126,buy,clean
T000078,2026-06-01 09:33:51,SP500-ABOVE-6000-JUN,ACCT007,ACCT011,41,74,sell,clean
T000079,2026-06-01 09:33:54,FED-CUT-JUL26,ACCT008,ACCT026,64,1,sell,clean
T000080,2026-06-01 09:33:57,SP500-ABOVE-6000-JUN,ACCT032,ACCT029,50,141,buy,clean
T000081,2026-06-01 09:34:00,SP500-ABOVE-6000-JUN,ACCT039,ACCT016,47,4,sell,clean
T000082,2026-06-01 09:34:03,PRES-2028-DEM,ACCT010,ACCT032,59,181,sell,clean
T000083,2026-06-01 09:34:06,SP500-ABOVE-6000-JUN,ACCT010,ACCT025,55,192,buy,clean
T000084,2026-06-01 09:34:09,SP500-ABOVE-6000-JUN,ACCT018,ACCT001,47,151,sell,clean
T000085,2026-06-01 09:34:12,FED-CUT-JUL26,ACCT036,ACCT035,30,49,buy,clean
T000086,2026-06-01 09:34:15,SP500-ABOVE-6000-JUN,ACCT031,ACCT025,36,167,buy,clean
T000087,2026-06-01 09:34:18,SP500-ABOVE-6000-JUN,ACCT022,ACCT007,59,135,sell,clean
T000088,2026-06-01 09:34:21,PRES-2028-DEM,ACCT005,ACCT031,51,160,sell,clean
T000089,2026-06-01 09:34:24,FED-CUT-JUL26,ACCT032,ACCT035,54,162,sell,clean
T000090,2026-06-01 09:34:27,SP500-ABOVE-6000-JUN,ACCT007,ACCT029,55,8,buy,clean
T000091,2026-06-01 09:34:30,FED-CUT-JUL26,ACCT010,ACCT016,34,47,buy,clean
T000092,2026-06-01 09:34:33,PRES-2028-DEM,ACCT032,ACCT038,58,66,sell,clean
T000093,2026-06-01 09:34:36,SP500-ABOVE-6000-JUN,ACCT035,ACCT011,75,151,sell,clean
T000094,2026-06-01 09:34:39,PRES-2028-DEM,ACCT025,ACCT031,59,92,sell,clean
T000095,2026-06-01 09:34:42,SP500-ABOVE-6000-JUN,ACCT004,ACCT039,49,74,buy,clean
T000096,2026-06-01 09:34:45,SP500-ABOVE-6000-JUN,ACCT009,ACCT007,64,80,sell,clean
T000097,2026-06-01 09:34:48,PRES-2028-DEM,ACCT019,ACCT021,49,34,sell,clean
T000098,2026-06-01 09:34:51,FED-CUT-JUL26,ACCT019,ACCT022,54,20,buy,clean
T000099,2026-06-01 09:34:54,FED-CUT-JUL26,ACCT001,ACCT017,37,173,sell,clean
T000100,2026-06-01 09:34:57,FED-CUT-JUL26,ACCT002,ACCT040,61,157,buy,clean
T000101,2026-06-01 09:35:00,PRES-2028-DEM,ACCT009,ACCT003,59,127,buy,clean
T000102,2026-06-01 09:35:03,FED-CUT-JUL26,ACCT024,ACCT035,32,40,sell,clean
T000103,2026-06-01 09:35:06,FED-CUT-JUL26,ACCT003,ACCT024,52,61,sell,clean
T000104,2026-06-01 09:35:09,SP500-ABOVE-6000-JUN,ACCT023,ACCT004,43,32,sell,clean
T000105,2026-06-01 09:35:12,FED-CUT-JUL26,ACCT016,ACCT009,51,196,buy,clean
T000106,2026-06-01 09:35:15,SP500-ABOVE-6000-JUN,ACCT001,ACCT018,54,34,sell,clean
T000107,2026-06-01 09:35:18,FED-CUT-JUL26,ACCT016,ACCT038,46,14,buy,clean
T000108,2026-06-01 09:35:21,FED-CUT-JUL26,ACCT029,ACCT024,44,129,buy,clean
T000109,2026-06-01 09:35:24,PRES-2028-DEM,ACCT004,ACCT031,57,28,sell,clean
T000110,2026-06-01 09:35:27,PRES-2028-DEM,ACCT005,ACCT009,47,141,sell,clean
T000111,2026-06-01 09:35:30,SP500-ABOVE-6000-JUN,ACCT039,ACCT028,65,168,buy,clean
T000112,2026-06-01 09:35:33,FED-CUT-JUL26,ACCT026,ACCT027,48,81,sell,clean
T000113,2026-06-01 09:35:36,PRES-2028-DEM,ACCT006,ACCT028,66,34,buy,clean
T000114,2026-06-01 09:35:39,SP500-ABOVE-6000-JUN,ACCT028,ACCT004,65,91,buy,clean
T000115,2026-06-01 09:35:42,PRES-2028-DEM,ACCT023,ACCT036,36,147,buy,clean
T000116,2026-06-01 09:35:45,SP500-ABOVE-6000-JUN,ACCT018,ACCT002,57,80,sell,clean
T000117,2026-06-01 09:35:48,SP500-ABOVE-6000-JUN,ACCT026,ACCT005,60,8,buy,clean
T000118,2026-06-01 09:35:51,PRES-2028-DEM,ACCT024,ACCT020,46,146,buy,clean
T000119,2026-06-01 09:35:54,PRES-2028-DEM,ACCT006,ACCT018,38,156,sell,clean
T000120,2026-06-01 09:35:57,PRES-2028-DEM,ACCT023,ACCT028,63,152,sell,clean
T000121,2026-06-01 09:36:00,SP500-ABOVE-6000-JUN,ACCT004,ACCT001,58,197,buy,clean
T000122,2026-06-01 09:36:03,FED-CUT-JUL26,ACCT028,ACCT012,60,59,sell,clean
T000123,2026-06-01 09:36:06,FED-CUT-JUL26,ACCT005,ACCT021,36,182,sell,clean
T000124,2026-06-01 09:36:09,FED-CUT-JUL26,ACCT011,ACCT040,32,93,buy,clean
T000125,2026-06-01 09:36:12,FED-CUT-JUL26,ACCT034,ACCT006,41,87,buy,clean
T000126,2026-06-01 09:36:15,PRES-2028-DEM,ACCT034,ACCT033,57,90,buy,clean
T000127,2026-06-01 09:36:18,PRES-2028-DEM,ACCT039,ACCT010,51,46,sell,clean
T000128,2026-06-01 09:36:21,SP500-ABOVE-6000-JUN,ACCT040,ACCT021,61,39,sell,clean
T000129,2026-06-01 09:36:24,FED-CUT-JUL26,ACCT038,ACCT004,47,119,sell,clean
T000130,2026-06-01 09:36:27,PRES-2028-DEM,ACCT006,ACCT040,40,149,buy,clean
T000131,2026-06-01 09:36:30,FED-CUT-JUL26,ACCT033,ACCT010,62,88,buy,clean
T000132,2026-06-01 09:36:33,FED-CUT-JUL26,ACCT034,ACCT040,56,73,sell,clean
T000133,2026-06-01 09:36:36,SP500-ABOVE-6000-JUN,ACCT022,ACCT005,42,99,sell,clean
T000134,2026-06-01 09:36:39,SP500-ABOVE-6000-JUN,ACCT010,ACCT023,43,170,sell,clean
T000135,2026-06-01 09:36:42,FED-CUT-JUL26,ACCT022,ACCT009,39,190,buy,clean
T000136,2026-06-01 09:36:45,FED-CUT-JUL26,ACCT012,ACCT014,38,50,buy,clean
T000137,2026-06-01 09:36:48,PRES-2028-DEM,ACCT033,ACCT035,62,10,sell,clean
T000138,2026-06-01 09:36:51,PRES-2028-DEM,ACCT040,ACCT011,49,94,buy,clean
T000139,2026-06-01 09:36:54,FED-CUT-JUL26,ACCT015,ACCT035,52,121,buy,clean
T000140,2026-06-01 09:36:57,FED-CUT-JUL26,ACCT025,ACCT033,19,52,buy,clean
T000141,2026-06-01 09:37:00,SP500-ABOVE-6000-JUN,ACCT007,ACCT034,55,196,buy,clean
T000142,2026-06-01 09:37:03,FED-CUT-JUL26,ACCT006,ACCT015,60,7,sell,clean
T000143,2026-06-01 09:37:06,FED-CUT-JUL26,ACCT006,ACCT024,51,26,sell,clean
T000144,2026-06-01 09:37:09,FED-CUT-JUL26,ACCT009,ACCT031,48,21,buy,clean
T000145,2026-06-01 09:37:12,SP500-ABOVE-6000-JUN,ACCT039,ACCT034,31,61,sell,clean
T000146,2026-06-01 09:37:15,SP500-ABOVE-6000-JUN,ACCT030,ACCT005,69,153,buy,clean
T000147,2026-06-01 09:37:18,SP500-ABOVE-6000-JUN,ACCT023,ACCT016,43,172,buy,clean
T000148,2026-06-01 09:37:21,SP500-ABOVE-6000-JUN,ACCT036,ACCT002,39,163,sell,clean
T000149,2026-06-01 09:37:24,PRES-2028-DEM,ACCT023,ACCT016,48,198,sell,clean
T000150,2026-06-01 09:37:27,SP500-ABOVE-6000-JUN,ACCT012,ACCT030,63,47,buy,clean
T000151,2026-06-01 09:37:30,PRES-2028-DEM,ACCT013,ACCT003,45,102,sell,clean
T000152,2026-06-01 09:37:33,PRES-2028-DEM,ACCT022,ACCT018,58,103,sell,clean
T000153,2026-06-01 09:37:36,FED-CUT-JUL26,ACCT024,ACCT034,49,109,buy,clean
T000154,2026-06-01 09:37:39,FED-CUT-JUL26,ACCT007,ACCT006,45,115,sell,clean
T000155,2026-06-01 09:37:42,SP500-ABOVE-6000-JUN,ACCT023,ACCT040,59,15,buy,clean
T000156,2026-06-01 09:37:45,SP500-ABOVE-6000-JUN,ACCT011,ACCT002,60,113,buy,clean
T000157,2026-06-01 09:37:48,FED-CUT-JUL26,ACCT024,ACCT025,52,40,sell,clean
T000158,2026-06-01 09:37:51,SP500-ABOVE-6000-JUN,ACCT009,ACCT034,43,72,buy,clean
T000159,2026-06-01 09:37:54,FED-CUT-JUL26,ACCT036,ACCT008,49,115,buy,clean
T000160,2026-06-01 09:37:57,PRES-2028-DEM,ACCT029,ACCT012,60,23,sell,clean
T000161,2026-06-01 09:38:00,FED-CUT-JUL26,ACCT011,ACCT012,53,32,buy,clean
T000162,2026-06-01 09:38:03,SP500-ABOVE-6000-JUN,ACCT037,ACCT024,16,34,buy,clean
T000163,2026-06-01 09:38:06,SP500-ABOVE-6000-JUN,ACCT031,ACCT034,39,148,buy,clean
T000164,2026-06-01 09:38:09,SP500-ABOVE-6000-JUN,ACCT034,ACCT023,65,142,buy,clean
T000165,2026-06-01 09:38:12,PRES-2028-DEM,ACCT008,ACCT034,54,83,buy,clean
T000166,2026-06-01 09:38:15,FED-CUT-JUL26,ACCT013,ACCT036,47,158,buy,clean
T000167,2026-06-01 09:38:18,SP500-ABOVE-6000-JUN,ACCT040,ACCT039,35,11,buy,clean
T000168,2026-06-01 09:38:21,PRES-2028-DEM,ACCT037,ACCT027,47,161,sell,clean
T000169,2026-06-01 09:38:24,SP500-ABOVE-6000-JUN,ACCT026,ACCT020,32,41,sell,clean
T000170,2026-06-01 09:38:27,SP500-ABOVE-6000-JUN,ACCT010,ACCT021,56,89,sell,clean
T000171,2026-06-01 09:38:30,FED-CUT-JUL26,ACCT016,ACCT030,59,37,buy,clean
T000172,2026-06-01 09:38:33,FED-CUT-JUL26,ACCT016,ACCT011,60,185,sell,clean
T000173,2026-06-01 09:38:36,FED-CUT-JUL26,ACCT032,ACCT020,44,101,sell,clean
T000174,2026-06-01 09:38:39,PRES-2028-DEM,ACCT019,ACCT032,31,173,sell,clean
T000175,2026-06-01 09:38:42,FED-CUT-JUL26,ACCT009,ACCT017,47,94,buy,clean
T000176,2026-06-01 09:38:45,FED-CUT-JUL26,ACCT036,ACCT019,62,196,sell,clean
T000177,2026-06-01 09:38:48,FED-CUT-JUL26,ACCT036,ACCT024,50,131,sell,clean
T000178,2026-06-01 09:38:51,FED-CUT-JUL26,ACCT031,ACCT034,34,132,buy,clean
T000179,2026-06-01 09:38:54,SP500-ABOVE-6000-JUN,ACCT020,ACCT038,38,137,sell,clean
T000180,2026-06-01 09:38:57,SP500-ABOVE-6000-JUN,ACCT008,ACCT027,31,186,buy,clean
T000181,2026-06-01 09:39:00,SP500-ABOVE-6000-JUN,ACCT004,ACCT038,35,185,sell,clean
T000182,2026-06-01 09:39:03,SP500-ABOVE-6000-JUN,ACCT008,ACCT013,60,39,sell,clean
T000183,2026-06-01 09:39:06,FED-CUT-JUL26,ACCT004,ACCT009,34,170,sell,clean
T000184,2026-06-01 09:39:09,SP500-ABOVE-6000-JUN,ACCT022,ACCT035,37,185,sell,clean
T000185,2026-06-01 09:39:12,FED-CUT-JUL26,ACCT015,ACCT020,52,177,sell,clean
T000186,2026-06-01 09:39:15,SP500-ABOVE-6000-JUN,ACCT018,ACCT019,62,98,sell,clean
T000187,2026-06-01 09:39:18,SP500-ABOVE-6000-JUN,ACCT006,ACCT023,65,192,sell,clean
T000188,2026-06-01 09:39:21,SP500-ABOVE-6000-JUN,ACCT018,ACCT009,65,62,buy,clean
T000189,2026-06-01 09:39:24,PRES-2028-DEM,ACCT007,ACCT027,43,175,buy,clean
T000190,2026-06-01 09:39:27,FED-CUT-JUL26,ACCT031,ACCT013,50,74,buy,clean
T000191,2026-06-01 09:39:30,SP500-ABOVE-6000-JUN,ACCT003,ACCT012,30,10,sell,clean
T000192,2026-06-01 09:39:33,PRES-2028-DEM,ACCT020,ACCT037,27,86,sell,clean
T000193,2026-06-01 09:39:36,PRES-2028-DEM,ACCT033,ACCT030,46,85,buy,clean
T000194,2026-06-01 09:39:39,FED-CUT-JUL26,ACCT019,ACCT037,46,157,sell,clean
T000195,2026-06-01 09:39:42,SP500-ABOVE-6000-JUN,ACCT007,ACCT012,63,64,buy,clean
T000196,2026-06-01 09:39:45,FED-CUT-JUL26,ACCT022,ACCT020,36,67,sell,clean
T000197,2026-06-01 09:39:48,PRES-2028-DEM,ACCT026,ACCT033,72,198,sell,clean
T000198,2026-06-01 09:39:51,PRES-2028-DEM,ACCT009,ACCT031,61,156,sell,clean
T000199,2026-06-01 09:39:54,SP500-ABOVE-6000-JUN,ACCT014,ACCT016,43,21,sell,clean
T000200,2026-06-01 09:39:57,SP500-ABOVE-6000-JUN,ACCT033,ACCT013,43,84,sell,clean
T000201,2026-06-01 09:40:00,SP500-ABOVE-6000-JUN,ACCT029,ACCT004,36,117,buy,clean
T000202,2026-06-01 09:40:03,PRES-2028-DEM,ACCT014,ACCT038,61,180,buy,clean
T000203,2026-06-01 09:40:06,FED-CUT-JUL26,ACCT012,ACCT009,53,166,sell,clean
T000204,2026-06-01 09:40:09,FED-CUT-JUL26,ACCT025,ACCT006,42,139,buy,clean
T000205,2026-06-01 09:40:12,FED-CUT-JUL26,ACCT034,ACCT009,48,1,buy,clean
T000206,2026-06-01 09:40:15,FED-CUT-JUL26,ACCT015,ACCT016,43,49,buy,clean
T000207,2026-06-01 09:40:18,PRES-2028-DEM,ACCT007,ACCT039,65,181,buy,clean
T000208,2026-06-01 09:40:21,SP500-ABOVE-6000-JUN,ACCT014,ACCT004,74,60,sell,clean
T000209,2026-06-01 09:40:24,SP500-ABOVE-6000-JUN,ACCT034,ACCT015,41,143,buy,clean
T000210,2026-06-01 09:40:27,FED-CUT-JUL26,ACCT025,ACCT034,44,39,sell,clean
T000211,2026-06-01 09:40:30,PRES-2028-DEM,ACCT020,ACCT010,59,144,sell,clean
T000212,2026-06-01 09:40:33,PRES-2028-DEM,ACCT017,ACCT014,47,116,sell,clean
T000213,2026-06-01 09:40:36,FED-CUT-JUL26,ACCT039,ACCT003,55,195,buy,clean
T000214,2026-06-01 09:40:39,PRES-2028-DEM,ACCT014,ACCT013,55,194,sell,clean
T000215,2026-06-01 09:40:42,PRES-2028-DEM,ACCT036,ACCT021,51,137,sell,clean
T000216,2026-06-01 09:40:45,FED-CUT-JUL26,ACCT030,ACCT007,56,195,sell,clean
T000217,2026-06-01 09:40:48,SP500-ABOVE-6000-JUN,ACCT015,ACCT010,65,150,sell,clean
T000218,2026-06-01 09:40:51,FED-CUT-JUL26,ACCT037,ACCT016,32,176,sell,clean
T000219,2026-06-01 09:40:54,SP500-ABOVE-6000-JUN,ACCT023,ACCT011,59,48,buy,clean
T000220,2026-06-01 09:40:57,FED-CUT-JUL26,ACCT009,ACCT015,56,56,sell,clean
T000221,2026-06-01 09:41:00,PRES-2028-DEM,ACCT001,ACCT035,48,136,sell,clean
T000222,2026-06-01 09:41:03,SP500-ABOVE-6000-JUN,ACCT028,ACCT012,54,39,buy,clean
T000223,2026-06-01 09:41:06,FED-CUT-JUL26,ACCT018,ACCT026,76,118,buy,clean
T000224,2026-06-01 09:41:09,SP500-ABOVE-6000-JUN,ACCT003,ACCT006,40,122,buy,clean
T000225,2026-06-01 09:41:12,FED-CUT-JUL26,ACCT022,ACCT037,82,136,buy,clean
T000226,2026-06-01 09:41:15,PRES-2028-DEM,ACCT005,ACCT018,62,9,buy,clean
T000227,2026-06-01 09:41:18,SP500-ABOVE-6000-JUN,ACCT026,ACCT005,45,146,sell,clean
T000228,2026-06-01 09:41:21,SP500-ABOVE-6000-JUN,ACCT006,ACCT033,49,26,sell,clean
T000229,2026-06-01 09:41:24,SP500-ABOVE-6000-JUN,ACCT039,ACCT026,60,163,sell,clean
T000230,2026-06-01 09:41:27,FED-CUT-JUL26,ACCT028,ACCT012,42,22,sell,clean
T000231,2026-06-01 09:41:30,FED-CUT-JUL26,ACCT010,ACCT025,47,2,sell,clean
T000232,2026-06-01 09:41:33,PRES-2028-DEM,ACCT012,ACCT028,35,105,buy,clean
T000233,2026-06-01 09:41:36,SP500-ABOVE-6000-JUN,ACCT039,ACCT021,51,106,sell,clean
T000234,2026-06-01 09:41:39,PRES-2028-DEM,ACCT025,ACCT011,56,127,buy,clean
T000235,2026-06-01 09:41:42,FED-CUT-JUL26,ACCT031,ACCT005,31,185,sell,clean
T000236,2026-06-01 09:41:45,PRES-2028-DEM,ACCT026,ACCT022,56,85,sell,clean
T000237,2026-06-01 09:41:48,SP500-ABOVE-6000-JUN,ACCT013,ACCT031,37,82,sell,clean
T000238,2026-06-01 09:41:51,FED-CUT-JUL26,ACCT026,ACCT024,61,152,buy,clean
T000239,2026-06-01 09:41:54,FED-CUT-JUL26,ACCT005,ACCT027,46,78,buy,clean
T000240,2026-06-01 09:41:57,PRES-2028-DEM,ACCT029,ACCT039,37,130,sell,clean
T000241,2026-06-01 09:42:00,PRES-2028-DEM,ACCT007,ACCT016,43,166,buy,clean
T000242,2026-06-01 09:42:03,PRES-2028-DEM,ACCT017,ACCT015,35,149,buy,clean
T000243,2026-06-01 09:42:06,SP500-ABOVE-6000-JUN,ACCT038,ACCT033,74,124,buy,clean
T000244,2026-06-01 09:42:09,SP500-ABOVE-6000-JUN,ACCT010,ACCT023,44,53,sell,clean
T000245,2026-06-01 09:42:12,SP500-ABOVE-6000-JUN,ACCT029,ACCT021,53,182,buy,clean
T000246,2026-06-01 09:42:15,PRES-2028-DEM,ACCT016,ACCT034,53,144,sell,clean
T000247,2026-06-01 09:42:18,PRES-2028-DEM,ACCT028,ACCT026,66,51,sell,clean
T000248,2026-06-01 09:42:21,PRES-2028-DEM,ACCT018,ACCT005,30,138,buy,clean
T000249,2026-06-01 09:42:24,FED-CUT-JUL26,ACCT032,ACCT034,60,100,sell,clean
T000250,2026-06-01 09:42:27,SP500-ABOVE-6000-JUN,ACCT012,ACCT020,63,173,buy,clean
T000251,2026-06-01 09:42:30,PRES-2028-DEM,ACCT024,ACCT010,37,36,sell,clean
T000252,2026-06-01 09:42:33,SP500-ABOVE-6000-JUN,ACCT012,ACCT036,54,48,sell,clean
T000253,2026-06-01 09:42:36,PRES-2028-DEM,ACCT032,ACCT009,53,144,sell,clean
T000254,2026-06-01 09:42:39,FED-CUT-JUL26,ACCT032,ACCT011,52,195,buy,clean
T000255,2026-06-01 09:42:42,FED-CUT-JUL26,ACCT011,ACCT030,31,127,buy,clean
T000256,2026-06-01 09:42:45,FED-CUT-JUL26,ACCT035,ACCT003,50,56,sell,clean
T000257,2026-06-01 09:42:48,PRES-2028-DEM,ACCT029,ACCT017,37,113,buy,clean
T000258,2026-06-01 09:42:51,SP500-ABOVE-6000-JUN,ACCT028,ACCT011,34,53,buy,clean
T000259,2026-06-01 09:42:54,PRES-2028-DEM,ACCT021,ACCT019,47,132,buy,clean
T000260,2026-06-01 09:42:57,SP500-ABOVE-6000-JUN,ACCT009,ACCT016,56,64,sell,clean
T000261,2026-06-01 09:43:00,SP500-ABOVE-6000-JUN,ACCT027,ACCT025,33,197,buy,clean
T000262,2026-06-01 09:43:03,FED-CUT-JUL26,ACCT030,ACCT032,49,199,buy,clean
T000263,2026-06-01 09:43:06,FED-CUT-JUL26,ACCT014,ACCT028,56,83,sell,clean
T000264,2026-06-01 09:43:09,FED-CUT-JUL26,ACCT022,ACCT004,66,118,buy,clean
T000265,2026-06-01 09:43:12,FED-CUT-JUL26,ACCT013,ACCT009,57,71,buy,clean
