order_id,timestamp,market_id,account_id,side,price,quantity,action,label
O000031,2026-06-01 09:31:30,FED-CUT-JUL26,ACCT024,buy,68,150,fill,clean
O000032,2026-06-01 09:31:33,FED-CUT-JUL26,ACCT016,buy,73,27,fill,clean
O000033,2026-06-01 09:31:36,SP500-ABOVE-6000-JUN,ACCT027,buy,22,7,fill,clean
O000034,2026-06-01 09:31:39,FED-CUT-JUL26,ACCT031,buy,70,57,fill,clean
O000035,2026-06-01 09:31:42,FED-CUT-JUL26,ACCT026,buy,28,85,fill,clean
O000036,2026-06-01 09:31:45,PRES-2028-DEM,ACCT008,buy,40,67,fill,clean
O000037,2026-06-01 09:31:48,FED-CUT-JUL26,ACCT025,buy,43,148,fill,clean
O000038,2026-06-01 09:31:51,PRES-2028-DEM,ACCT028,sell,47,18,cancel,clean
O000039,2026-06-01 09:31:54,FED-CUT-JUL26,ACCT021,sell,44,104,fill,clean
O000040,2026-06-01 09:31:57,SP500-ABOVE-6000-JUN,ACCT026,sell,63,141,cancel,clean
O000041,2026-06-01 09:32:00,FED-CUT-JUL26,ACCT029,sell,56,114,fill,clean
O000042,2026-06-01 09:32:03,SP500-ABOVE-6000-JUN,ACCT016,buy,41,80,fill,clean
O000043,2026-06-01 09:32:06,PRES-2028-DEM,ACCT027,sell,59,148,fill,clean
O000044,2026-06-01 09:32:09,SP500-ABOVE-6000-JUN,ACCT028,buy,53,57,fill,clean
O000045,2026-06-01 09:32:12,SP500-ABOVE-6000-JUN,ACCT030,buy,52,136,cancel,clean
O000046,2026-06-01 09:32:15,SP500-ABOVE-6000-JUN,ACCT011,sell,37,122,fill,clean
O000047,2026-06-01 09:32:18,PRES-2028-DEM,ACCT016,sell,50,70,fill,clean
O000048,2026-06-01 09:32:21,SP500-ABOVE-6000-JUN,ACCT027,buy,59,105,fill,clean
O000049,2026-06-01 09:32:24,FED-CUT-JUL26,ACCT031,sell,62,2,cancel,clean
O000050,2026-06-01 09:32:27,FED-CUT-JUL26,ACCT015,sell,45,70,fill,clean
O000051,2026-06-01 09:32:30,PRES-2028-DEM,ACCT009,sell,31,137,fill,clean
O000052,2026-06-01 09:32:33,FED-CUT-JUL26,ACCT012,sell,45,13,fill,clean
O000053,2026-06-01 09:32:36,FED-CUT-JUL26,ACCT017,sell,67,21,fill,clean
O000054,2026-06-01 09:32:39,SP500-ABOVE-6000-JUN,ACCT002,buy,49,64,fill,clean
O000055,2026-06-01 09:32:42,PRES-2028-DEM,ACCT017,sell,63,95,fill,clean
O000056,2026-06-01 09:32:45,SP500-ABOVE-6000-JUN,ACCT026,sell,48,51,fill,clean
O000057,2026-06-01 09:32:48,SP500-ABOVE-6000-JUN,ACCT023,buy,40,137,fill,clean
O000058,2026-06-01 09:32:51,FED-CUT-JUL26,ACCT028,buy,48,93,fill,clean
O000059,2026-06-01 09:32:54,FED-CUT-JUL26,ACCT030,sell,63,112,cancel,clean
O000060,2026-06-01 09:32:57,SP500-ABOVE-6000-JUN,ACCT016,sell,31,119,fill,clean
O000061,2026-06-01 09:33:00,SP500-ABOVE-6000-JUN,ACCT023,buy,54,67,fill,clean
O000062,2026-06-01 09:33:03,SP500-ABOVE-6000-JUN,ACCT032,sell,51,143,cancel,clean
O000063,2026-06-01 09:33:06,SP500-ABOVE-6000-JUN,ACCT016,sell,50,79,fill,clean
O000064,2026-06-01 09:33:09,FED-CUT-JUL26,ACCT030,sell,47,70,fill,clean
O000065,2026-06-01 09:33:12,PRES-2028-DEM,ACCT014,buy,68,124,fill,clean
O000066,2026-06-01 09:33:15,SP500-ABOVE-6000-JUN,ACCT024,buy,55,46,fill,clean
O000067,2026-06-01 09:33:18,SP500-ABOVE-6000-JUN,ACCT032,buy,82,27,cancel,clean
O000068,2026-06-01 09:33:21,SP500-ABOVE-6000-JUN,ACCT008,sell,51,17,fill,clean
O000069,2026-06-01 09:33:24,PRES-2028-DEM,ACCT008,buy,67,143,cancel,clean
O000070,2026-06-01 09:33:27,SP500-ABOVE-6000-JUN,ACCT038,sell,64,110,fill,clean
O000071,2026-06-01 09:33:30,SP500-ABOVE-6000-JUN,ACCT017,buy,48,21,fill,clean
O000072,2026-06-01 09:33:33,PRES-2028-DEM,ACCT003,sell,60,60,fill,clean
O000073,2026-06-01 09:33:36,FED-CUT-JUL26,ACCT008,sell,24,140,fill,clean
O000074,2026-06-01 09:33:39,PRES-2028-DEM,ACCT008,sell,53,120,fill,clean
O000075,2026-06-01 09:33:42,SP500-ABOVE-6000-JUN,ACCT021,sell,49,65,fill,clean
O000076,2026-06-01 09:33:45,PRES-2028-DEM,ACCT012,buy,35,121,fill,clean
O000077,2026-06-01 09:33:48,FED-CUT-JUL26,ACCT023,sell,49,105,fill,clean
O000078,2026-06-01 09:33:51,SP500-ABOVE-6000-JUN,ACCT030,buy,66,23,fill,clean
O000079,2026-06-01 09:33:54,FED-CUT-JUL26,ACCT004,sell,33,49,fill,clean
O000080,2026-06-01 09:33:57,SP500-ABOVE-6000-JUN,ACCT029,sell,41,125,fill,clean
O000081,2026-06-01 09:34:00,SP500-ABOVE-6000-JUN,ACCT015,buy,39,30,fill,clean
O000082,2026-06-01 09:34:03,PRES-2028-DEM,ACCT031,sell,45,121,fill,clean
O000083,2026-06-01 09:34:06,SP500-ABOVE-6000-JUN,ACCT018,buy,65,107,fill,clean
O000084,2026-06-01 09:34:09,SP500-ABOVE-6000-JUN,ACCT029,buy,59,138,fill,clean
O000085,2026-06-01 09:34:12,FED-CUT-JUL26,ACCT015,sell,69,106,fill,clean
O000086,2026-06-01 09:34:15,SP500-ABOVE-6000-JUN,ACCT003,sell,61,33,fill,clean
O000087,2026-06-01 09:34:18,SP500-ABOVE-6000-JUN,ACCT010,buy,40,105,cancel,clean
O000088,2026-06-01 09:34:21,PRES-2028-DEM,ACCT022,buy,40,137,fill,clean
O000089,2026-06-01 09:34:24,FED-CUT-JUL26,ACCT006,buy,51,112,cancel,clean
O000090,2026-06-01 09:34:27,SP500-ABOVE-6000-JUN,ACCT004,sell,58,76,fill,clean
O000091,2026-06-01 09:34:30,FED-CUT-JUL26,ACCT006,buy,46,98,fill,clean
O000092,2026-06-01 09:34:33,PRES-2028-DEM,ACCT001,sell,60,120,cancel,clean
O000093,2026-06-01 09:34:36,SP500-ABOVE-6000-JUN,ACCT017,sell,62,117,cancel,clean
O000094,2026-06-01 09:34:39,PRES-2028-DEM,ACCT002,sell,57,102,fill,clean
O000095,2026-06-01 09:34:42,SP500-ABOVE-6000-JUN,ACCT015,sell,27,49,fill,clean
O000096,2026-06-01 09:34:45,SP500-ABOVE-6000-JUN,ACCT038,buy,40,94,cancel,clean
O000097,2026-06-01 09:34:48,PRES-2028-DEM,ACCT011,sell,42,66,cancel,clean
O000098,2026-06-01 09:34:51,FED-CUT-JUL26,ACCT026,buy,37,143,fill,clean
O000099,2026-06-01 09:34:54,FED-CUT-JUL26,ACCT024,sell,46,28,fill,clean
O000100,2026-06-01 09:34:57,FED-CUT-JUL26,ACCT030,buy,39,78,fill,clean
O000101,2026-06-01 09:35:00,PRES-2028-DEM,ACCT016,buy,46,138,fill,clean
O000102,2026-06-01 09:35:03,FED-CUT-JUL26,ACCT032,buy,59,105,cancel,clean
O000103,2026-06-01 09:35:06,FED-CUT-JUL26,ACCT024,buy,62,140,cancel,clean
O000104,2026-06-01 09:35:09,SP500-ABOVE-6000-JUN,ACCT014,buy,54,6,fill,clean
O000105,2026-06-01 09:35:12,FED-CUT-JUL26,ACCT015,buy,42,85,cancel,clean
O000106,2026-06-01 09:35:15,SP500-ABOVE-6000-JUN,ACCT008,buy,44,7,fill,clean
O000107,2026-06-01 09:35:18,FED-CUT-JUL26,ACCT034,sell,56,30,cancel,clean
O000108,2026-06-01 09:35:21,FED-CUT-JUL26,ACCT034,buy,49,78,fill,clean
O000109,2026-06-01 09:35:24,PRES-2028-DEM,ACCT005,sell,39,21,fill,clean
O000110,2026-06-01 09:35:27,PRES-2028-DEM,ACCT039,sell,66,136,fill,clean
O000111,2026-06-01 09:35:30,SP500-ABOVE-6000-JUN,ACCT029,sell,60,59,fill,clean
O000112,2026-06-01 09:35:33,FED-CUT-JUL26,ACCT010,sell,39,122,fill,clean
O000113,2026-06-01 09:35:36,PRES-2028-DEM,ACCT008,sell,61,106,fill,clean
O000114,2026-06-01 09:35:39,SP500-ABOVE-6000-JUN,ACCT010,buy,46,124,fill,clean
O000115,2026-06-01 09:35:42,PRES-2028-DEM,ACCT036,sell,65,143,fill,clean
O000116,2026-06-01 09:35:45,SP500-ABOVE-6000-JUN,ACCT001,sell,66,47,cancel,clean
O000117,2026-06-01 09:35:48,SP500-ABOVE-6000-JUN,ACCT025,buy,63,108,fill,clean
O000118,2026-06-01 09:35:51,PRES-2028-DEM,ACCT010,buy,29,41,cancel,clean
O000119,2026-06-01 09:35:54,PRES-2028-DEM,ACCT018,sell,54,56,cancel,clean
O000120,2026-06-01 09:35:57,PRES-2028-DEM,ACCT003,sell,61,57,fill,clean
O000121,2026-06-01 09:36:00,SP500-ABOVE-6000-JUN,ACCT019,sell,77,84,fill,clean
O000122,2026-06-01 09:36:03,FED-CUT-JUL26,ACCT026,buy,60,11,fill,clean
O000123,2026-06-01 09:36:06,FED-CUT-JUL26,ACCT008,sell,42,104,fill,clean
O000124,2026-06-01 09:36:09,FED-CUT-JUL26,ACCT007,sell,54,63,fill,clean
O000125,2026-06-01 09:36:12,FED-CUT-JUL26,ACCT011,sell,56,20,fill,clean
O000126,2026-06-01 09:36:15,PRES-2028-DEM,ACCT007,buy,69,38,fill,clean
O000127,2026-06-01 09:36:18,PRES-2028-DEM,ACCT037,sell,32,149,fill,clean
O000128,2026-06-01 09:36:21,SP500-ABOVE-6000-JUN,ACCT031,buy,37,114,fill,clean
O000129,2026-06-01 09:36:24,FED-CUT-JUL26,ACCT004,buy,53,95,cancel,clean
O000130,2026-06-01 09:36:27,PRES-2028-DEM,ACCT037,sell,43,49,fill,clean
O000131,2026-06-01 09:36:30,FED-CUT-JUL26,ACCT003,buy,46,64,cancel,clean
O000132,2026-06-01 09:36:33,FED-CUT-JUL26,ACCT022,sell,59,14,cancel,clean
O000133,2026-06-01 09:36:36,SP500-ABOVE-6000-JUN,ACCT039,sell,63,39,fill,clean
O000134,2026-06-01 09:36:39,SP500-ABOVE-6000-JUN,ACCT039,buy,66,22,fill,clean
O000135,2026-06-01 09:36:42,FED-CUT-JUL26,ACCT033,sell,30,93,fill,clean
O000136,2026-06-01 09:36:45,FED-CUT-JUL26,ACCT010,buy,67,20,fill,clean
O000137,2026-06-01 09:36:48,PRES-2028-DEM,ACCT039,buy,28,97,fill,clean
O000138,2026-06-01 09:36:51,PRES-2028-DEM,ACCT040,sell,46,73,cancel,clean
O000139,2026-06-01 09:36:54,FED-CUT-JUL26,ACCT037,sell,81,113,fill,clean
O000140,2026-06-01 09:36:57,FED-CUT-JUL26,ACCT004,sell,44,124,cancel,clean
O000141,2026-06-01 09:37:00,SP500-ABOVE-6000-JUN,ACCT029,sell,42,132,fill,clean
O000142,2026-06-01 09:37:03,FED-CUT-JUL26,ACCT026,buy,27,129,fill,clean
O000143,2026-06-01 09:37:06,FED-CUT-JUL26,ACCT009,buy,60,10,fill,clean
O000144,2026-06-01 09:37:09,FED-CUT-JUL26,ACCT014,sell,50,39,fill,clean
O000145,2026-06-01 09:37:12,SP500-ABOVE-6000-JUN,ACCT004,buy,59,62,fill,clean
O000146,2026-06-01 09:37:15,SP500-ABOVE-6000-JUN,ACCT010,buy,66,75,fill,clean
O000147,2026-06-01 09:37:18,SP500-ABOVE-6000-JUN,ACCT005,sell,46,135,fill,clean
O000148,2026-06-01 09:37:21,SP500-ABOVE-6000-JUN,ACCT017,sell,58,5,fill,clean
O000149,2026-06-01 09:37:24,PRES-2028-DEM,ACCT003,buy,33,91,fill,clean
O000150,2026-06-01 09:37:27,SP500-ABOVE-6000-JUN,ACCT030,buy,48,10,fill,clean
O000151,2026-06-01 09:37:30,PRES-2028-DEM,ACCT003,sell,59,49,fill,clean
O000152,2026-06-01 09:37:33,PRES-2028-DEM,ACCT022,sell,58,48,fill,clean
O000153,2026-06-01 09:37:36,FED-CUT-JUL26,ACCT039,sell,54,47,fill,clean
O000154,2026-06-01 09:37:39,FED-CUT-JUL26,ACCT029,buy,58,90,fill,clean
O000155,2026-06-01 09:37:42,SP500-ABOVE-6000-JUN,ACCT024,sell,49,132,cancel,clean
O000156,2026-06-01 09:37:45,SP500-ABOVE-6000-JUN,ACCT005,buy,62,61,cancel,clean
O000157,2026-06-01 09:37:48,FED-CUT-JUL26,ACCT024,sell,49,114,cancel,clean
O000158,2026-06-01 09:37:51,SP500-ABOVE-6000-JUN,ACCT002,buy,57,48,fill,clean
O000159,2026-06-01 09:37:54,FED-CUT-JUL26,ACCT032,sell,59,52,fill,clean
O000160,2026-06-01 09:37:57,PRES-2028-DEM,ACCT005,sell,42,141,fill,clean
O000161,2026-06-01 09:38:00,FED-CUT-JUL26,ACCT016,buy,36,127,fill,clean
O000162,2026-06-01 09:38:03,SP500-ABOVE-6000-JUN,ACCT020,buy,56,102,cancel,clean
O000163,2026-06-01 09:38:06,SP500-ABOVE-6000-JUN,ACCT021,buy,56,19,fill,clean
O000164,2026-06-01 09:38:09,SP500-ABOVE-6000-JUN,ACCT028,buy,66,129,cancel,clean
O000165,2026-06-01 09:38:12,PRES-2028-DEM,ACCT034,sell,55,73,cancel,clean
O000166,2026-06-01 09:38:15,FED-CUT-JUL26,ACCT038,buy,66,149,fill,clean
O000167,2026-06-01 09:38:18,SP500-ABOVE-6000-JUN,ACCT003,buy,73,148,fill,clean
O000168,2026-06-01 09:38:21,PRES-2028-DEM,ACCT031,sell,47,63,cancel,clean
O000169,2026-06-01 09:38:24,SP500-ABOVE-6000-JUN,ACCT031,sell,55,119,fill,clean
O000170,2026-06-01 09:38:27,SP500-ABOVE-6000-JUN,ACCT024,buy,41,132,fill,clean
O000171,2026-06-01 09:38:30,FED-CUT-JUL26,ACCT019,buy,59,99,cancel,clean
O000172,2026-06-01 09:38:33,FED-CUT-JUL26,ACCT011,buy,24,128,cancel,clean
O000173,2026-06-01 09:38:36,FED-CUT-JUL26,ACCT014,buy,50,150,fill,clean
O000174,2026-06-01 09:38:39,PRES-2028-DEM,ACCT035,sell,36,3,cancel,clean
O000175,2026-06-01 09:38:42,FED-CUT-JUL26,ACCT004,sell,29,146,fill,clean
O000176,2026-06-01 09:38:45,FED-CUT-JUL26,ACCT009,buy,56,25,fill,clean
O000177,2026-06-01 09:38:48,FED-CUT-JUL26,ACCT003,buy,42,10,fill,clean
O000178,2026-06-01 09:38:51,FED-CUT-JUL26,ACCT040,sell,54,82,fill,clean
O000179,2026-06-01 09:38:54,SP500-ABOVE-6000-JUN,ACCT031,sell,69,5,fill,clean
O000180,2026-06-01 09:38:57,SP500-ABOVE-6000-JUN,ACCT017,sell,39,149,fill,clean
O000181,2026-06-01 09:39:00,SP500-ABOVE-6000-JUN,ACCT016,buy,51,9,fill,clean
O000182,2026-06-01 09:39:03,SP500-ABOVE-6000-JUN,ACCT027,buy,51,129,cancel,clean
O000183,2026-06-01 09:39:06,FED-CUT-JUL26,ACCT021,sell,48,45,fill,clean
O000184,2026-06-01 09:39:09,SP500-ABOVE-6000-JUN,ACCT013,sell,66,64,fill,clean
O000185,2026-06-01 09:39:12,FED-CUT-JUL26,ACCT031,sell,31,90,fill,clean
O000186,2026-06-01 09:39:15,SP500-ABOVE-6000-JUN,ACCT010,sell,62,75,fill,clean
O000187,2026-06-01 09:39:18,SP500-ABOVE-6000-JUN,ACCT013,buy,41,138,fill,clean
O000188,2026-06-01 09:39:21,SP500-ABOVE-6000-JUN,ACCT034,buy,62,58,fill,clean
O000189,2026-06-01 09:39:24,PRES-2028-DEM,ACCT036,buy,61,41,fill,clean
O000190,2026-06-01 09:39:27,FED-CUT-JUL26,ACCT037,buy,40,60,fill,clean
O000191,2026-06-01 09:39:30,SP500-ABOVE-6000-JUN,ACCT012,sell,61,75,cancel,clean
O000192,2026-06-01 09:39:33,PRES-2028-DEM,ACCT035,sell,33,135,fill,clean
O000193,2026-06-01 09:39:36,PRES-2028-DEM,ACCT017,sell,71,48,fill,clean
O000194,2026-06-01 09:39:39,FED-CUT-JUL26,ACCT033,sell,43,84,fill,clean
O000195,2026-06-01 09:39:42,SP500-ABOVE-6000-JUN,ACCT025,sell,48,61,fill,clean
O000196,2026-06-01 09:39:45,FED-CUT-JUL26,ACCT004,buy,42,31,fill,clean
O000197,2026-06-01 09:39:48,PRES-2028-DEM,ACCT019,buy,38,95,fill,clean
O000198,2026-06-01 09:39:51,PRES-2028-DEM,ACCT036,sell,66,121,cancel,clean
O000199,2026-06-01 09:39:54,SP500-ABOVE-6000-JUN,ACCT005,sell,35,145,fill,clean
O000200,2026-06-01 09:39:57,SP500-ABOVE-6000-JUN,ACCT014,buy,46,150,fill,clean
O000201,2026-06-01 09:40:00,SP500-ABOVE-6000-JUN,ACCT020,sell,54,6,fill,clean
O000202,2026-06-01 09:40:03,PRES-2028-DEM,ACCT005,buy,55,121,fill,clean
O000203,2026-06-01 09:40:06,FED-CUT-JUL26,ACCT025,sell,16,115,cancel,clean
O000204,2026-06-01 09:40:09,FED-CUT-JUL26,ACCT008,sell,33,46,cancel,clean
O000205,2026-06-01 09:40:12,FED-CUT-JUL26,ACCT030,sell,41,140,fill,clean
O000206,2026-06-01 09:40:15,FED-CUT-JUL26,ACCT027,buy,51,5,fill,clean
O000207,2026-06-01 09:40:18,PRES-2028-DEM,ACCT003,buy,53,103,fill,clean
O000208,2026-06-01 09:40:21,SP500-ABOVE-6000-JUN,ACCT016,sell,79,78,cancel,clean
O000209,2026-06-01 09:40:24,SP500-ABOVE-6000-JUN,ACCT036,sell,54,127,fill,clean
O000210,2026-06-01 09:40:27,FED-CUT-JUL26,ACCT012,sell,61,138,fill,clean
O000211,2026-06-01 09:40:30,PRES-2028-DEM,ACCT036,sell,24,136,fill,clean
O000212,2026-06-01 09:40:33,PRES-2028-DEM,ACCT035,buy,54,49,fill,clean
O000213,2026-06-01 09:40:36,FED-CUT-JUL26,ACCT014,sell,44,86,fill,clean
O000214,2026-06-01 09:40:39,PRES-2028-DEM,ACCT039,buy,48,53,fill,clean
O000215,2026-06-01 09:40:42,PRES-2028-DEM,ACCT017,sell,38,93,fill,clean
O000216,2026-06-01 09:40:45,FED-CUT-JUL26,ACCT024,buy,31,81,fill,clean
O000217,2026-06-01 09:40:48,SP500-ABOVE-6000-JUN,ACCT010,sell,51,51,fill,clean
O000218,2026-06-01 09:40:51,FED-CUT-JUL26,ACCT032,sell,50,126,fill,clean
O000219,2026-06-01 09:40:54,SP500-ABOVE-6000-JUN,ACCT005,buy,61,13,cancel,clean
O000220,2026-06-01 09:40:57,FED-CUT-JUL26,ACCT004,sell,52,124,fill,clean
O000221,2026-06-01 09:41:00,PRES-2028-DEM,ACCT002,sell,49,129,cancel,clean
O000222,2026-06-01 09:41:03,SP500-ABOVE-6000-JUN,ACCT040,buy,53,135,fill,clean
O000223,2026-06-01 09:41:06,FED-CUT-JUL26,ACCT020,buy,64,21,fill,clean
O000224,2026-06-01 09:41:09,SP500-ABOVE-6000-JUN,ACCT011,buy,56,22,fill,clean
O000225,2026-06-01 09:41:12,FED-CUT-JUL26,ACCT014,buy,45,146,fill,clean
O000226,2026-06-01 09:41:15,PRES-2028-DEM,ACCT002,sell,40,54,fill,clean
O000227,2026-06-01 09:41:18,SP500-ABOVE-6000-JUN,ACCT025,sell,64,36,cancel,clean
O000228,2026-06-01 09:41:21,SP500-ABOVE-6000-JUN,ACCT005,buy,38,88,fill,clean
O000229,2026-06-01 09:41:24,SP500-ABOVE-6000-JUN,ACCT032,sell,47,59,fill,clean
O000230,2026-06-01 09:41:27,FED-CUT-JUL26,ACCT005,buy,34,22,fill,clean
O000231,2026-06-01 09:41:30,FED-CUT-JUL26,ACCT024,sell,55,70,fill,clean
O000232,2026-06-01 09:41:33,PRES-2028-DEM,ACCT006,buy,54,91,fill,clean
O000233,2026-06-01 09:41:36,SP500-ABOVE-6000-JUN,ACCT036,buy,48,63,fill,clean
O000234,2026-06-01 09:41:39,PRES-2028-DEM,ACCT011,buy,57,112,fill,clean
O000235,2026-06-01 09:41:42,FED-CUT-JUL26,ACCT030,buy,72,28,fill,clean
O000236,2026-06-01 09:41:45,PRES-2028-DEM,ACCT028,sell,40,35,fill,clean
O000237,2026-06-01 09:41:48,SP500-ABOVE-6000-JUN,ACCT037,sell,78,63,fill,clean
O000238,2026-06-01 09:41:51,FED-CUT-JUL26,ACCT030,buy,60,54,fill,clean
O000239,2026-06-01 09:41:54,FED-CUT-JUL26,ACCT010,sell,44,109,cancel,clean
O000240,2026-06-01 09:41:57,PRES-2028-DEM,ACCT024,buy,51,138,fill,clean
O000241,2026-06-01 09:42:00,PRES-2028-DEM,ACCT022,sell,40,111,fill,clean
O000242,2026-06-01 09:42:03,PRES-2028-DEM,ACCT024,sell,49,101,fill,clean
O000243,2026-06-01 09:42:06,SP500-ABOVE-6000-JUN,ACCT027,sell,83,22,fill,clean
O000244,2026-06-01 09:42:09,SP500-ABOVE-6000-JUN,ACCT031,sell,62,25,fill,clean
O000245,2026-06-01 09:42:12,SP500-ABOVE-6000-JUN,ACCT022,buy,51,28,fill,clean
O000246,2026-06-01 09:42:15,PRES-2028-DEM,ACCT015,sell,56,104,fill,clean
O000247,2026-06-01 09:42:18,PRES-2028-DEM,ACCT025,sell,53,2,cancel,clean
O000248,2026-06-01 09:42:21,PRES-2028-DEM,ACCT021,sell,39,51,fill,clean
O000249,2026-06-01 09:42:24,FED-CUT-JUL26,ACCT023,buy,47,91,cancel,clean
O000250,2026-06-01 09:42:27,SP500-ABOVE-6000-JUN,ACCT008,sell,42,62,fill,clean
O000251,2026-06-01 09:42:30,PRES-2028-DEM,ACCT012,sell,49,125,fill,clean
O000252,2026-06-01 09:42:33,SP500-ABOVE-6000-JUN,ACCT040,sell,58,14,cancel,clean
O000253,2026-06-01 09:42:36,PRES-2028-DEM,ACCT032,sell,61,107,cancel,clean
O000254,2026-06-01 09:42:39,FED-CUT-JUL26,ACCT003,sell,51,71,fill,clean
O000255,2026-06-01 09:42:42,FED-CUT-JUL26,ACCT018,buy,41,140,cancel,clean
O000256,2026-06-01 09:42:45,FED-CUT-JUL26,ACCT016,buy,37,77,cancel,clean
O000257,2026-06-01 09:42:48,PRES-2028-DEM,ACCT014,buy,67,90,cancel,clean
O000258,2026-06-01 09:42:51,SP500-ABOVE-6000-JUN,ACCT035,sell,35,72,fill,clean
O000259,2026-06-01 09:42:54,PRES-2028-DEM,ACCT027,buy,59,16,cancel,clean
O000260,2026-06-01 09:42:57,SP500-ABOVE-6000-JUN,ACCT010,sell,58,148,fill,clean
O000261,2026-06-01 09:43:00,SP500-ABOVE-6000-JUN,ACCT033,sell,55,72,fill,clean
O000262,2026-06-01 09:43:03,FED-CUT-JUL26,ACCT023,sell,50,17,cancel,clean
O000263,2026-06-01 09:43:06,FED-CUT-JUL26,ACCT036,sell,37,148,fill,clean
O000264,2026-06-01 09:43:09,FED-CUT-JUL26,ACCT011,buy,54,113,fill,clean
O000265,2026-06-01 09:43:12,FED-CUT-JUL26,ACCT017,sell,43,22,fill,clean
O000266,2026-06-01 09:43:15,SP500-ABOVE-6000-JUN,ACCT006,sell,56,25,fill,clean
O000267,2026-06-01 09:43:18,FED-CUT-JUL26,ACCT022,buy,41,31,cancel,clean
O000268,2026-06-01 09:43:21,FED-CUT-JUL26,ACCT021,buy,55,95,cancel,clean
O000269,2026-06-01 09:43:24,PRES-2028-DEM,ACCT029,buy,35,90,cancel,clean
O000270,2026-06-01 09:43:27,SP500-ABOVE-6000-JUN,ACCT009,buy,41,32,fill,clean
O000271,2026-06-01 09:43:30,FED-CUT-JUL26,ACCT036,buy,56,73,cancel,clean
O000272,2026-06-01 09:43:33,SP500-ABOVE-6000-JUN,ACCT004,sell,65,62,fill,clean
O000273,2026-06-01 09:43:36,PRES-2028-DEM,ACCT009,sell,46,100,cancel,clean
O000274,2026-06-01 09:43:39,SP500-ABOVE-6000-JUN,ACCT038,buy,47,18,fill,clean
O000275,2026-06-01 09:43:42,PRES-2028-DEM,ACCT026,sell,46,22,fill,clean
O000276,2026-06-01 09:43:45,SP500-ABOVE-6000-JUN,ACCT035,buy,60,84,fill,clean
O000277,2026-06-01 09:43:48,SP500-ABOVE-6000-JUN,ACCT006,buy,31,112,fill,clean
O000278,2026-06-01 09:43:51,SP500-ABOVE-6000-JUN,ACCT001,buy,68,36,cancel,clean
O000279,2026-06-01 09:43:54,PRES-2028-DEM,ACCT024,buy,46,33,cancel,clean
